author,authorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q55683,Q55683,"ιστορία, αρχαιολογία, νομισματολογία",Q6826853,1898-09-24T00:00:00Z,1960-11-25T00:00:00Z,
http://www.wikidata.org/entity/Q57382,Κρίστα Βολφ,"δοκίμιο, Γερμανική λογοτεχνία",Γκόζουφ Βιελκοπόλσκι,1929-03-18T00:00:00Z,2011-12-01T00:00:00Z,"Γερμανίδα κριτικός λογοτεχνίας, μυθιστοριογράφος και δοκιμιογράφος"
http://www.wikidata.org/entity/Q58845,Q58845,οικονομικά,Έρλανγκεν,1835-03-25T00:00:00Z,1917-11-08T00:00:00Z,
http://www.wikidata.org/entity/Q59945,Γιάκομπ Μπούρκχαρντ,Ιστορία της τέχνης,Βασιλεία,1818-05-25T00:00:00Z,1897-08-08T00:00:00Z,
http://www.wikidata.org/entity/Q60025,Χάνα Άρεντ,"φιλοσοφία, Ολοκληρωτισμός, πολιτική φιλοσοφία, Ελληνικές σπουδές",Q18023391,1906-10-14T00:00:00Z,1975-12-04T00:00:00Z,
http://www.wikidata.org/entity/Q60815,Μπράιαν Γκριν,"σύμπαν, μαθηματικά, θεωρητική φυσική, σχετικότητα, χωροχρόνος, κβαντική βαρύτητα",Νέα Υόρκη,1963-02-09T00:00:00Z,,Αμερικανικός φυσικός
http://www.wikidata.org/entity/Q61151,Έντουαρντ Σπράνγκερ,"παιδαγωγική, φιλοσοφία, εκπαιδευτικό σύστημα",Γκρος-Λιχτερφέλντε,1882-06-17T00:00:00Z,1963-09-17T00:00:00Z,
http://www.wikidata.org/entity/Q61151,Έντουαρντ Σπράνγκερ,"παιδαγωγική, φιλοσοφία, εκπαιδευτικό σύστημα",Γκρος-Λιχτερφέλντε,1882-06-27T00:00:00Z,1963-09-17T00:00:00Z,
http://www.wikidata.org/entity/Q61708,Q61708,"πολιτική, δίκαιο",Βερολίνο,1860-10-28T00:00:00Z,1925-10-09T00:00:00Z,
http://www.wikidata.org/entity/Q71853,Q71853,οικονομικά,Δυτική Πρωσία,1840-12-12T00:00:00Z,1919-09-17T00:00:00Z,
http://www.wikidata.org/entity/Q72817,Q72817,"οικονομικά, δημοσιογραφία γνώμης, επιχείρηση",Πλέτενμπεργκ,1964-10-07T00:00:00Z,,
http://www.wikidata.org/entity/Q72863,Χανς Βέρνερ Γκέσσμανν,ψυχολογία,Ντούισμπουργκ,1950-03-24T00:00:00Z,,Ψυχολόγος
http://www.wikidata.org/entity/Q74426,Q74426,"δίκαιο, Συνταγματικό Δίκαιο, Διεθνές Δίκαιο",Λειψία,1868-02-12T00:00:00Z,1946-11-23T00:00:00Z,
http://www.wikidata.org/entity/Q83059,Σολ Μπήλλοου,μυθιστόρημα,Q1474128,1915-06-10T00:00:00Z,2005-04-05T00:00:00Z,Αμερικανός συγγραφέας βραβευμένος με Νόμπελ Λογοτεχνίας
http://www.wikidata.org/entity/Q86078,Άννι Άλμπερς,"Ύφασμα, κόσμημα",Βερολίνο,1899-06-12T00:00:00Z,1994-05-09T00:00:00Z,
http://www.wikidata.org/entity/Q86339,Q86339,"ψυχολογία, ιατρική, Σεξολογία",Πραμπούτι,1897-09-30T00:00:00Z,1986-09-12T00:00:00Z,
http://www.wikidata.org/entity/Q109484,Q109484,"δίκαιο, πολιτική",Νυρεμβέργη,1866-08-11T00:00:00Z,1944-06-01T00:00:00Z,
http://www.wikidata.org/entity/Q111190,Q111190,χημεία,Q986183,1927-06-28T00:00:00Z,2012-03-10T00:00:00Z,
http://www.wikidata.org/entity/Q112424,Q112424,"οικονομικά, παιδαγωγική, πολιτική επιστήμη",Βερολίνο,1875-07-06T00:00:00Z,1935-01-16T00:00:00Z,
http://www.wikidata.org/entity/Q112479,Q112479,δίκαιο,Q81572,1857-02-05T00:00:00Z,1939-10-23T00:00:00Z,
http://www.wikidata.org/entity/Q114816,Q114816,δίκαιο,Μπόξμπεργκ,1859-02-09T00:00:00Z,1916-05-31T00:00:00Z,
http://www.wikidata.org/entity/Q115243,Αμίν Μααλούφ,"μυθιστόρημα, λογοτεχνία, ιστορικό μυθιστόρημα",Βηρυτός,1949-02-25T00:00:00Z,,
http://www.wikidata.org/entity/Q121062,Q121062,δίκαιο,Φριστάτ,1934-07-10T00:00:00Z,2021-07-23T00:00:00Z,
http://www.wikidata.org/entity/Q152441,Γιάνους Κόρτσακ,"παιδαγωγική, ιατρική",Βαρσοβία,1878-07-22T00:00:00Z,1942-08-07T00:00:00Z,
http://www.wikidata.org/entity/Q160157,Τζο Λίμπερμαν,πολιτική,Στάμφορντ,1942-02-24T00:00:00Z,2024-03-27T00:00:00Z,Αμερικανός πολιτικός
http://www.wikidata.org/entity/Q166548,Αλεξέι Ιβάνοβιτς Αμπρικόσοφ,"παθολογοανατομία, ανατομική παθολογία",Μόσχα,1875-01-18T00:00:00Z,1955-04-09T00:00:00Z,Ρώσος και Σοβιετικός παθολόγος ιατρός
http://www.wikidata.org/entity/Q174580,Q174580,Κόμικς,Ηνωμένες Πολιτείες Αμερικής,1961-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q189950,Όσιπ Μαντελστάμ,"μετάφραση, λογοτεχνία",Βαρσοβία,1891-01-14T00:00:00Z,1938-12-27T00:00:00Z,Ρώσος ποιητής
http://www.wikidata.org/entity/Q206972,Ολέμπ ντε Γκουζ,"φεμινισμός, Κατάργηση της δουλείας",Μοντωμπάν,1748-05-07T00:00:00Z,1793-11-03T00:00:00Z,
http://www.wikidata.org/entity/Q212706,Q212706,οικονομικά,Βοστώνη,1928-02-06T00:00:00Z,2017-05-08T00:00:00Z,
http://www.wikidata.org/entity/Q213735,Q213735,"λογοτεχνία, ζωγραφική, εικαστικές τέχνες, τέχνες του θεάματος",Βερολίνο,1917-04-16T00:00:00Z,1943-10-10T00:00:00Z,
http://www.wikidata.org/entity/Q215444,Q215444,"εκπαίδευση, ιστορία της λογοτεχνίας",Q146356,1911-03-27T00:00:00Z,1990-11-05T00:00:00Z,
http://www.wikidata.org/entity/Q215978,Q215978,ψυχολογία,Βιέννη,1930-02-22T00:00:00Z,2018-09-12T00:00:00Z,
http://www.wikidata.org/entity/Q216570,Q216570,"ζωγραφική, φωτογραφία",Βερολίνο,1910-06-11T00:00:00Z,2011-07-07T00:00:00Z,
http://www.wikidata.org/entity/Q218309,Ζόφια Κόσακ-Στσούτσκα,μυθιστόρημα,Q6435636,1889-08-10T00:00:00Z,1968-04-09T00:00:00Z,Πολωνή συγγραφέας
http://www.wikidata.org/entity/Q220944,Μοσέ Σαφντί,αρχιτεκτονική,Χάιφα,1938-07-14T00:00:00Z,,
