politician,politicianLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q475,Εντουάρντο Φρέι Μοντάλβα,πολιτική,Σαντιάγο,1911-01-16T00:00:00Z,1982-01-22T00:00:00Z,Πρόεδρος της Χιλής
http://www.wikidata.org/entity/Q498,Q498,"πολιτική, Στρατιωτική υπηρεσία",Αμβούργο,1700-04-06T00:00:00Z,1755-05-27T00:00:00Z,
http://www.wikidata.org/entity/Q1124,Μπιλ Κλίντον,"πολιτική, νομική",Χόουπ,1946-08-19T00:00:00Z,,42ος πρόεδρος των Ηνωμένων Πολιτειών Αμερικής
http://www.wikidata.org/entity/Q1149,Ίντιρα Γκάντι,πολιτική,Πραγιαγκράτζ,1917-11-19T00:00:00Z,1984-10-31T00:00:00Z,Ινδή πολιτικός
http://www.wikidata.org/entity/Q1220,Τζιόρτζιο Ναπολιτάνο,"πολιτική, δημοσιογραφία",Νάπολη,1925-06-29T00:00:00Z,2023-09-22T00:00:00Z,Ιταλός πολιτικός
http://www.wikidata.org/entity/Q1230,Φραντσέσκο Κοσίγκα,"πολιτική, δίκαιο",Σάσσαρι,1928-07-26T00:00:00Z,2010-08-17T00:00:00Z,Ιταλός πρόεδρος
http://www.wikidata.org/entity/Q1238,Τζιουζέπε Σάραγκατ,πολιτική,Τορίνο,1898-09-19T00:00:00Z,1988-06-11T00:00:00Z,
http://www.wikidata.org/entity/Q1271,Τρίκβε Λίε,πολιτική,Όσλο,1896-07-16T00:00:00Z,1968-12-30T00:00:00Z,Πρώτος γενικός γραμματέας του ΟΗΕ
http://www.wikidata.org/entity/Q1271,Τρίκβε Λίε,πολιτική,Q11973101,1896-07-16T00:00:00Z,1968-12-30T00:00:00Z,Πρώτος γενικός γραμματέας του ΟΗΕ
http://www.wikidata.org/entity/Q1394,Βλαντίμιρ Ίλιτς Λένιν,"κομμουνισμός, πολιτική, Λενινισμός",Ουλιάνοφσκ,1870-04-22T00:00:00Z,1924-01-21T00:00:00Z,Ηγέτης της Σοβιετικής Ενωσης Πρωτεργάτης της Οκτωβριανής Επανάστασης
http://www.wikidata.org/entity/Q1429,Αντωνίνος Πίος,πολιτική,Q2832670,0086-09-17T00:00:00Z,0161-03-06T00:00:00Z,Αυτοκράτορας της Ρώμης
http://www.wikidata.org/entity/Q2054,Σενέκας ο Νεότερος,"ηθική, πολιτική φιλοσοφία",Κορδύβη,-0004-01-01T00:00:00Z,0065-04-10T00:00:00Z,
http://www.wikidata.org/entity/Q2190,Q2190,"χιούμορ, υποκριτική",14ο δημοτικό διαμέρισμα του Παρισιού,1944-10-28T00:00:00Z,1986-06-19T00:00:00Z,
http://www.wikidata.org/entity/Q5879,Γιόχαν Βόλφγκανγκ φον Γκαίτε,"φυσική, ανατομία, γεωλογία, μετεωρολογία",Φραγκφούρτη,1749-08-28T00:00:00Z,1832-03-22T00:00:00Z,"Γερμανός ποιητής, μυθιστοριογράφος, δραματουργός, θεωρητικός της τέχνης και φυσιοδίφης"
http://www.wikidata.org/entity/Q6694,Αλεξάντερ φον Χούμπολτ,"φυσική, ζωολογία, βοτανική, γεωγραφία, μετεωρολογία, γεωοικονομία, γεωβοτανική",Βερολίνο,1769-09-14T00:00:00Z,1859-05-06T00:00:00Z,Γερμανός φυσιοδίφης και εξερευνητής
http://www.wikidata.org/entity/Q7311,Τζάκομο Πουτσίνι,"μουσική, όπερα, έντεχνη μουσική",Λούκκα,1858-12-22T00:00:00Z,1924-11-29T00:00:00Z,Ιταλός συνθέτης
http://www.wikidata.org/entity/Q7317,Τζουζέπε Βέρντι,"μουσική, όπερα, πολιτική, έντεχνη μουσική, διεύθυνση ορχήστρας",Λε Ρονκόλ,1813-10-10T00:00:00Z,1901-01-27T00:00:00Z,
http://www.wikidata.org/entity/Q9123,Έρνεστ Ράδερφορντ,"φυσική, χημεία, ραδιενέργεια, πυρηνική φυσική",Q65430768,1871-08-30T00:00:00Z,1937-10-19T00:00:00Z,Νεοζηλανδός φυσικός και χημικός
http://www.wikidata.org/entity/Q9387,Μαξ Βέμπερ,"ιστορία, οικονομικά, κοινωνιολογία, οικονομία, επιστήμη της ιστορίας, κοινωνιολογία της θρησκείας",Ερφούρτη,1864-04-21T00:00:00Z,1920-06-14T00:00:00Z,Γερμανός κοινωνιολόγος και πολιτικός οικονομολόγος
http://www.wikidata.org/entity/Q9513,Αμπντούλ Καλάμ,"επιστήμη, ποίηση, πολιτική, αεροδιαστημική μηχανική",Q12974700,1931-10-15T00:00:00Z,2015-07-27T00:00:00Z,Ινδός πολιτικός
http://www.wikidata.org/entity/Q9575,Χαριβάνς Ράι Μπατσάν,"ποίηση, πεζός λόγος",Πραγιαγκράτζ,1907-11-27T00:00:00Z,2003-01-18T00:00:00Z,Ινδός ποιητής
http://www.wikidata.org/entity/Q11812,Τόμας Τζέφερσον,"φιλοσοφία, διπλωματία, δίκαιο, γεωργία, αρχιτεκτονική",Q4179352,1743-04-13T00:00:00Z,1826-07-04T00:00:00Z,3ος πρόεδρος των Ηνωμένων Πολιτειών Αμερικής
http://www.wikidata.org/entity/Q18806,Φραντς Μέρινγκ,"ιστορία, πολιτική, δημοσιογραφία, δράμα, φιλολογία, δημοσιογραφία γνώμης",Q161967,1846-02-27T00:00:00Z,1919-01-28T00:00:00Z,
http://www.wikidata.org/entity/Q18806,Φραντς Μέρινγκ,"ιστορία, πολιτική, δημοσιογραφία, δράμα, φιλολογία, δημοσιογραφία γνώμης",Q161967,1846-02-27T00:00:00Z,1919-01-29T00:00:00Z,
http://www.wikidata.org/entity/Q19216,Μα Γινγκ-Τζέου,διπλωματία,Q856077,1950-07-13T00:00:00Z,,
http://www.wikidata.org/entity/Q19526,Μάγια Αγγέλου,"ποίηση, δοκίμιο",Σαιντ Λούις,1928-04-04T00:00:00Z,2014-05-28T00:00:00Z,Αμερικανίδα ποιήτρια και συγγραφέας
http://www.wikidata.org/entity/Q24211,Q24211,"διπλωματία, πολιτική",Βιέννη,1669-03-07T00:00:00Z,1742-11-07T00:00:00Z,
http://www.wikidata.org/entity/Q24840,Q24840,αθλητισμός,Ζακοπάνε,1978-12-15T00:00:00Z,,
http://www.wikidata.org/entity/Q25318,Q25318,"μαθηματικά, πολιτική",Νάντη,1841-11-01T00:00:00Z,1920-05-05T00:00:00Z,
http://www.wikidata.org/entity/Q25351,Τέοντορ Mόμσεν,"ιστορία, κλασική αρχαιότητα, επιστήμη της ιστορίας, κλασική φιλολογία, νομική",Q27324,1817-11-30T00:00:00Z,1903-11-01T00:00:00Z,"Γερμανός κλασικιστής, νομικός και ιστορικός"
http://www.wikidata.org/entity/Q26370,Q26370,"φυσική, πυρηνική φυσική, πυρηνική τεχνολογία",Τουμκούρ,1925-01-28T00:00:00Z,2004-09-24T00:00:00Z,
http://www.wikidata.org/entity/Q26825,Ηρόδοτος,"ιστορία, πολιτική",Μαυσωλείο της Αλικαρνασσού,-0483-01-01T00:00:00Z,-0424-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q26825,Ηρόδοτος,"ιστορία, πολιτική",Αλικαρνασσός,-0483-01-01T00:00:00Z,-0424-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q27357,Φρανθίσκο Μαρτίνεθ ντε λα Ρόσα,"διπλωματία, πολιτική",Γρανάδα,1787-03-10T00:00:00Z,1862-02-07T00:00:00Z,
http://www.wikidata.org/entity/Q29230,Μάρτι Αχτισάαρι,"διπλωματία, πολιτική",Βίμποργκ,1937-06-23T00:00:00Z,2023-10-16T00:00:00Z,Φινλανδός πολιτικός
http://www.wikidata.org/entity/Q30487,Μιχαήλ Γκορμπατσώφ,"Περεστρόικα, πολιτική",Πρίβολγε,1931-03-02T00:00:00Z,2022-08-30T00:00:00Z,Ηγέτης της Σοβιετικής Ένωσης
http://www.wikidata.org/entity/Q38849,Σιντάρο Ισιχάρα,πολιτική,Q1155010,1932-09-30T00:00:00Z,2022-02-01T00:00:00Z,
http://www.wikidata.org/entity/Q39246,Ρίτσαρντ Φίλλιπς Φάινμαν,"φυσική, Κβαντική ηλεκτροδυναμική, σωματιδιακή φυσική",Q62460,1918-05-11T00:00:00Z,1988-02-15T00:00:00Z,Αμερικανός φυσικός
http://www.wikidata.org/entity/Q39524,Γκαμάλ Άμπντελ Νάσερ,"πολιτική, στράτευμα",Αλεξάνδρεια,1918-01-15T00:00:00Z,1970-09-28T00:00:00Z,
http://www.wikidata.org/entity/Q40213,Ουίλιαμ Μπάτλερ Γέιτς,"ποίηση, δράμα",Q966849,1865-06-13T00:00:00Z,1939-01-28T00:00:00Z,Ιρλανδός συγγραφέας και ποιητής
http://www.wikidata.org/entity/Q40688,Γιάνης Βαρουφάκης,"οικονομικά, Θεωρία παιγνίων",Αθήνα,1961-03-24T00:00:00Z,,Έλληνας οικονομολόγος και πολιτικός
http://www.wikidata.org/entity/Q40933,Εβίτα Περόν,πολιτική,Χουνίν,1919-05-07T00:00:00Z,1952-07-26T00:00:00Z,
http://www.wikidata.org/entity/Q41564,Ντέιβιντ Λόιντ Τζόνστον,"πολιτική, δίκαιο, δημόσια πολιτική, χρεόγραφο",Σάντμπερυ,1941-06-28T00:00:00Z,,
http://www.wikidata.org/entity/Q41568,Μισέλ ντε Μονταίν,φιλοσοφία,Q178442,1533-03-10T00:00:00Z,1592-09-13T00:00:00Z,
http://www.wikidata.org/entity/Q57203,Πάουλ Έμιλ φον Λέτοβ-Φόρμπεκ,Στρατιωτική υπηρεσία,Ζααρλουί,1870-03-20T00:00:00Z,1964-03-09T00:00:00Z,
http://www.wikidata.org/entity/Q57261,Γκεόργκι Παρβάνοφ,πολιτικός,Σίριστνικ,1957-06-28T00:00:00Z,,
http://www.wikidata.org/entity/Q57342,Μαουρίσιο Φούνες,"πολιτικός, δημοσιογράφος",Σαν Σαλβαδόρ,1959-10-18T00:00:00Z,,
http://www.wikidata.org/entity/Q57366,Εμομαλί Ραχμόν,πολιτικός,Ντανγάρα,1952-10-05T00:00:00Z,,
http://www.wikidata.org/entity/Q57382,Κρίστα Βολφ,"δοκίμιο, Γερμανική λογοτεχνία",Γκόζουφ Βιελκοπόλσκι,1929-03-18T00:00:00Z,2011-12-01T00:00:00Z,"Γερμανίδα κριτικός λογοτεχνίας, μυθιστοριογράφος και δοκιμιογράφος"
http://www.wikidata.org/entity/Q87683,Q87683,αστρονομία,Πράγα,1822-04-23T00:00:00Z,1876-10-19T00:00:00Z,
http://www.wikidata.org/entity/Q87683,Q87683,αστρονομία,Μπρνο,1822-04-23T00:00:00Z,1876-10-19T00:00:00Z,
http://www.wikidata.org/entity/Q87974,Q87974,πολιτική,Κέμνιτς,1910-06-08T00:00:00Z,1998-02-10T00:00:00Z,Γερμανός πολιτικός
http://www.wikidata.org/entity/Q88082,Q88082,πολιτική,Q2069566,1828-05-13T00:00:00Z,1889-12-27T00:00:00Z,
