actor,actorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q38849,Σιντάρο Ισιχάρα,πολιτική,Q1155010,1932-09-30T00:00:00Z,2022-02-01T00:00:00Z,
http://www.wikidata.org/entity/Q39986,Q39986,"μουσική, υποκριτική",Τζόλιετ,1980-11-29T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q40124,Q40124,"τηλεόραση, ταινία, θέατρο, υποκριτική",Νέα Ορλεάνη,1969-01-01T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q40124,Q40124,"τηλεόραση, ταινία, θέατρο, υποκριτική",Νέα Ορλεάνη,1969-01-29T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q40124,Q40124,"τηλεόραση, ταινία, θέατρο, υποκριτική",Νέα Ορλεάνη,1971-05-15T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q40479,Q40479,"πεζός λόγος, μετάφραση, αγγλική φιλολογία, μυθοπλασία, Αγγλική λογοτεχνία, συγκριτική λογοτεχνία",Q4697475,1969-01-12T00:00:00Z,,
http://www.wikidata.org/entity/Q40531,Τζον Γουέιν,"ταινία, υποκριτική, παραγωγή ταινιών",Q983796,1907-05-26T00:00:00Z,1979-06-11T00:00:00Z,"Αμερικανός ηθοποιός, σκηνοθέτης και παραγωγός"
http://www.wikidata.org/entity/Q41173,Ντέμι Λοβάτο,"μουσική, άσμα, υποκριτική",Αλμπουκέρκη,1992-08-20T00:00:00Z,,Αμερικανίδα τραγουδίστρια και ηθοποιός
http://www.wikidata.org/entity/Q41594,Κριστίνα Αγκιλέρα,"άσμα, σύνθεση",Στάτεν Άιλαντ,1980-12-18T00:00:00Z,,
http://www.wikidata.org/entity/Q42455,Μπιορκ,ποίηση,Ρέυκιαβικ,1965-11-21T00:00:00Z,,Ισλανδή τραγουδίστρια και τραγουδοποιός
