scientist,scientistLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q528111,Βάτσλαβ Σμιλ,"βιομηχανία ενέργειας, εκλαϊκευμένη επιστήμη, τεχνολογική αλλαγή, φυσικοί πόροι, Φυσικό περιβάλλον, γεωοικονομία",Πίλζεν,1943-12-09T00:00:00Z,,"Τσεχο-Καναδός επιστήμονας, συγγραφέας και πολιτικός αναλυτής"
http://www.wikidata.org/entity/Q534027,Q534027,Ψηφιακές Ανθρωπιστικές Επιστήμες,Έβανστον,1971-04-18T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q539093,Άννι Σκοτ Ντιλ Μόντερ,"φυσική επιστήμη, μαθηματικά, αστρονομία",Q1027659,1868-04-14T00:00:00Z,1947-09-15T00:00:00Z,Βρετανή αστρονόμος
http://www.wikidata.org/entity/Q18120262,Q18120262,φυσική,Τσερνίχιβ,1910-12-18T00:00:00Z,1972-02-01T00:00:00Z,επιστήμονας
http://www.wikidata.org/entity/Q227897,Γιόχαν Μπερνούλι,"Διαφορικός λογισμός, λογισμός, μηχανική, Μαθηματική ανάλυση, φυσική, μαθηματικά",Βασιλεία,1667-08-06T00:00:00Z,1748-01-01T00:00:00Z,Ελβετός μαθηματικός
http://www.wikidata.org/entity/Q3852823,Μάουρο Φερράρι,Βιοϊατρική τεχνολογία,Πάντοβα,1959-01-01T00:00:00Z,,Ιταλός επιστήμονας
http://www.wikidata.org/entity/Q1202177,Όοουεν Γκίνγκεριτς,"ιστορία της επιστήμης, αστρονομία",Q989456,1930-03-24T00:00:00Z,2023-05-28T00:00:00Z,Αμερικανός αστρονόμος και ιστορικός της αστρονομίας
http://www.wikidata.org/entity/Q234888,Βέρα Ρούμπιν,"σκοτεινή ύλη, αστροφυσική, αστρονομία, κοσμολογία",Φιλαδέλφεια,1928-07-23T00:00:00Z,2016-12-25T00:00:00Z,Αμερικανίδα αστρονόμος
http://www.wikidata.org/entity/Q243075,Μάργκαρετ Λίντσεϊ Χάγκινς,"αστροφωτογραφία, Φασματοσκοπία, φωτογραφία, αστρονομία",Δουβλίνο,1848-08-14T00:00:00Z,1915-03-24T00:00:00Z,Ιρλανδός αστρονόμος
http://www.wikidata.org/entity/Q6238291,Τζων Χώκινς,"ορυκτολογία, Μεταλλευτική, γεωλογία",Q7247073,1761-05-06T00:00:00Z,1841-07-04T00:00:00Z,Άγγλος γεωλόγος
http://www.wikidata.org/entity/Q244152,Βίλεμπρορντ Σνελ,"φυσική, αστρονομία, μαθηματικά",Λέιντεν,1580-06-23T00:00:00Z,1626-10-30T00:00:00Z,"Ολλανδός αστρονόμος, φυσικός και γεωδαίτης"
http://www.wikidata.org/entity/Q19612991,Φρουμέντι Νικολάγιεβιτς Αμπακούμοφ,γεωλογία,Q4379379,1915-12-13T00:00:00Z,,σοβιετικός γεωλόγος
http://www.wikidata.org/entity/Q12103452,Γκούσταβ Άισμαν,νομική,Κίεβο,1824-01-01T00:00:00Z,1884-04-23T00:00:00Z,δήμαρχος Κιέβου
http://www.wikidata.org/entity/Q16373886,Σαχίμπα Γκαφάροβα,φιλολογία,Σαμκίρ,1955-03-19T00:00:00Z,,Πρόεδρος της Εθνοσυνέλευσης του Αζερμπαϊτζάν
http://www.wikidata.org/entity/Q26763822,Γιούνις Νιούτον Φουτ,φυσική,Γκόσεν,1819-07-17T00:00:00Z,1888-09-30T00:00:00Z,"Αμερικανίδα επιστήμονας, εφευρέτρια και αγωνίστρια για τα δικαιώματα των γυναικών"
http://www.wikidata.org/entity/Q12359000,Αλέξανδρος-Φαίδων Λαγόπουλος,"κοινωνική γεωγραφία, Χωροταξία, πολεοδομία, σημειωτική, κοινωνική ανθρωπολογία",Κάιρο,1939-01-14T00:00:00Z,,ομότιμος καθηγητής του τμήματος αρχιτεκτόνων του ΑΠΘ
